id,loan_amnt,emp_title,emp_length,annual_inc,home_ownership
73458582,2425,Teacher,5,25000.0,MORTGAGE
75304067,12000,cook,10,42235.0,RENT
76063566,8400,Water Distribution Operator ,1,30000.0,OWN
74694701,7200,Bookkeeper ,3,25000.0,RENT
75933265,17050,Teacher,10,48000.0,RENT
75089411,35000,sales director,1,280000.0,RENT
76053479,16000,Nanny,10,96000.0,MORTGAGE
75719434,16800,director,3,67000.0,MORTGAGE
75869381,20000,Principal designer,4,160000.0,OWN
76043271,1000,Director,4,130000.0,RENT
76103464,18000,Software Engineer,1,148500.0,MORTGAGE
76051393,27200,Sr. Administrative Analyst,10,85000.0,MORTGAGE
76142051,24000,Regional Director of care services,1,115000.0,MORTGAGE
75973715,20000,Teacher,10,82000.0,MORTGAGE
74701816,8825,Customer Success Specialist,2,26000.0,RENT
76052073,9800,,0,50000.0,MORTGAGE
76071889,17500,Police officer,8,95000.0,RENT
76143578,35000,Senior Storage Consultant,7,175000.0,MORTGAGE
774448,6150,RN,7,100000.0,MORTGAGE
76121800,14850,Teacher,3,50000.0,RENT
76063361,35000,Director,10,168000.0,MORTGAGE
75739655,5000,parts manager,6,32000.0,RENT
75983267,26300,Driver,10,80000.0,MORTGAGE
75952300,20400,Learning Behavior Specialist,10,103000.0,RENT
75369436,8275,MEDICAL BILLER,3,32827.0,RENT
75962178,23500,Data Scientist,2,120000.0,MORTGAGE
75378537,2000,Production Specialist,10,34329.0,RENT
75911572,14000,Lead Production Admin.,3,99305.0,MORTGAGE
74845969,6000,Supervisor,5,90000.0,RENT
75221145,5000,Wire technition,4,36000.0,MORTGAGE
75800999,7675,,0,37344.0,RENT
76111899,24000,Sr Supply chain manager ,3,139000.0,MORTGAGE
75699956,4400,Massage therapist/independent contractor,5,30000.0,RENT
76143594,3500,field service tech,2,70000.0,RENT
75234708,28000,Chemical Process Technician,10,140000.0,MORTGAGE
75973125,20150,Teacher,10,90000.0,MORTGAGE
75974008,16750,Assistant Store Manager,10,80000.0,OWN
76014232,10000,Instrument tech,10,42000.0,RENT
76113314,3000,xray/CT technologist ,10,54000.0,RENT
75051287,14000,Surety underwriter,0,88000.0,RENT
76143682,10000,Supervisor ,9,31000.0,RENT
76011438,18000,Medical Assistant,10,45500.0,MORTGAGE
75646296,16000,Surgical Technician,3,120000.0,RENT
76003379,10000,Active Duty,6,51745.0,MORTGAGE
75678901,7800,Firefighter/Paramedic,10,125000.0,MORTGAGE
75859917,4000,Servicing Specialist 2,2,31116.8,RENT
75942426,4800,Mechanical Designer,0,80000.0,RENT
76132036,28275,Nursing Supervisor,3,130000.0,MORTGAGE
76022868,5600,Detail,8,35000.0,RENT
75740397,3000,Letter Carrier,10,115000.0,MORTGAGE
76091983,20000,Director of Care Services,10,54000.0,RENT
75679763,13450,Registered Nurse,0,40000.0,MORTGAGE
75051237,15000,Owner,2,40000.0,OWN
75933192,16000,Payroll & Benefits Specialist,8,68000.0,MORTGAGE
75678753,9200,general labor,10,42000.0,OWN
74835980,18000,Field Technician,2,65000.0,OWN
75142052,4000,Lead Tech,4,60000.0,MORTGAGE
76022334,2000,Police ,9,58124.0,MORTGAGE
75303544,7200,CNC Operator,0,41800.0,RENT
76132285,35000,Portfolio Manager,10,320000.0,MORTGAGE
76113202,13500,court clerk,8,36000.0,MORTGAGE
76073379,5000,Supervisor,10,68000.0,MORTGAGE
75487314,40000,Manager,3,130000.0,MORTGAGE
75818383,35000,"owner, physician",10,160000.0,MORTGAGE
76053224,21000,Driver/Operator,2,64000.0,MORTGAGE
76053201,3000,,0,42000.0,OWN
76133237,3000,Equipment operator ,10,100000.0,MORTGAGE
75933085,10700,Loan doc specialist,3,32160.0,MORTGAGE
75720922,32000,Director Product Marketing,6,325000.0,MORTGAGE
75700311,15775,Consultant,0,125000.0,RENT
76133277,7000,Stylist,0,24000.0,RENT
76031146,20000,foreman,9,60000.0,RENT
76053250,8000,Firefighter ,10,45000.0,MORTGAGE
76092844,10800,Junior High Librarian at Hillcrest Junio,10,63000.0,RENT
75192403,24000,Mgmt Analyst,10,115000.0,MORTGAGE
76072257,6000,Insurance Agent,0,56000.0,MORTGAGE
76143376,2500,Director of Communications,10,72000.0,RENT
76123095,16000,IT Manager,3,55000.0,MORTGAGE
75951346,12000,,0,68000.0,MORTGAGE
76082640,35000,Loan consultant ,6,265000.0,OWN
75972966,5000,Service Manager,3,66000.0,MORTGAGE
76091940,8000,Office Manager,6,33000.0,RENT
76143399,5525,Teacher,7,52000.0,RENT
75679282,24000,construction project manager,7,60000.0,MORTGAGE
75951988,15000,Software Developer,2,65596.0,RENT
75708129,6375,Sr Mechanical Designer,1,140000.0,MORTGAGE
76033151,35000,heo,10,140000.0,MORTGAGE
75910801,16725,Residency Coordinator,5,45000.0,MORTGAGE
76072792,1400,Teacher/Coach,3,60000.0,RENT
75850924,25525,Executive Director,1,150000.0,MORTGAGE
75670454,24000,Floor manager,3,95000.0,RENT
75497592,20000,Law Enforcement Officer,10,48000.0,RENT
75357127,8000,Poweder Coat Painter ,3,35000.0,OWN
75104253,35000,skills trades leader V mechanic,10,100000.0,MORTGAGE
75869408,20800,Mechanic,1,60000.0,OWN
75738495,22000,Service Specialest,10,85000.0,RENT
76023025,3200,Patient care tech ,1,20000.0,MORTGAGE
75718330,11675,Avation Technician,6,45000.0,MORTGAGE
76021153,24900,HR Manager,3,65000.0,RENT
75759435,7000,Building Engineer,10,54000.0,RENT
76123099,25000,Healthcare Advisory,5,102000.0,MORTGAGE
75870235,15000,teacher,10,45000.0,MORTGAGE
75869567,20000,Associate Vice President,10,250000.0,MORTGAGE
75285159,16000,Service manger,10,75000.0,MORTGAGE
75508136,2000,mechanic,6,40000.0,OWN
76042992,2500,Business Development Manager ,7,75000.0,OWN
76092461,4800,Mental health assistant ,2,55000.0,RENT
75145652,20000,Sr. Learning Consultant,10,65000.0,MORTGAGE
75119746,6000,medical sales,10,150000.0,MORTGAGE
75993107,31200,Supervisor ,10,65000.0,RENT
75323433,8000,RN,0,40000.0,RENT
75315482,10975,Receptionist,10,24100.0,OWN
76043248,7500,Secretary,10,54000.0,MORTGAGE
75051310,3000,home help aid,10,21000.0,RENT
75700081,1800,EVS-Maintenance,10,28000.0,OWN
75942457,10000,Production Tech,10,55000.0,MORTGAGE
74071786,6500,flight attendent,10,70000.0,RENT
75299880,10500,truck driver ,1,84000.0,MORTGAGE
75538274,20000,Nurse,2,70000.0,RENT
76103002,24000,Sales Manager,10,170000.0,RENT
74673963,6000,Investigator,10,69959.0,RENT
75729618,11500,Office Manager,9,40000.0,RENT
76042124,20800,sales,5,123100.0,MORTGAGE
75286109,17150,Vice President,10,50000.0,RENT
30325796,25000,SR VP Sales,9,250000.0,MORTGAGE
74876279,15525,Translator,4,75585.0,OWN
75357228,5000,,0,26000.0,MORTGAGE
76052405,7200,Instructional Assistant,8,25000.0,MORTGAGE
75123857,40000,Police Officer,10,100000.0,MORTGAGE
75942270,24000,Registered nurse,4,100000.0,MORTGAGE
76152560,5000,Process Compliance Coordinator,1,40404.0,RENT
75359239,10000,Manager,6,51000.0,MORTGAGE
75953006,7000,Server,0,23000.0,RENT
76073156,21000,Director,8,190000.0,MORTGAGE
76042928,15000,Implementation Specialist,8,37000.0,MORTGAGE
75962900,8000,Millwork Specialist,4,33928.0,RENT
74654564,21000,Analyst,1,98800.0,RENT
75488248,10000,underwriter,9,77161.0,MORTGAGE
75150382,37500,Assistant Manager,10,75000.0,MORTGAGE
75838646,6000,,0,45000.0,OWN
75618129,12800,Sales Manager,4,86000.0,RENT
76102340,25025,Category Specialist,5,68000.0,MORTGAGE
76012315,15300,Utility Worker,2,62500.0,RENT
76021743,11750,Medical coder,9,35000.0,MORTGAGE
75923155,1500,CNC machinist ,3,47000.0,MORTGAGE
76152721,6000,INSURANCE AGENT PERSONAL LINES,10,45000.0,MORTGAGE
75848560,16800,Purchaser,6,44000.0,MORTGAGE
76042739,5600,Driver ,3,24000.0,RENT
76002823,24000,Grounds,10,81000.0,MORTGAGE
75350207,2000,,0,54000.0,MORTGAGE
75377738,16950,,0,65000.0,MORTGAGE
76133127,5000,HR Manager,10,76000.0,MORTGAGE
75262809,30800,CT Tech,10,65000.0,OWN
76022472,2800,Security,1,30000.0,RENT
76122924,26500,Cashier,7,53000.0,MORTGAGE
75275636,10000,Sr. Quality Engineer,3,115000.0,RENT
75253985,35000,PROJECT MANAGER,4,145000.0,MORTGAGE
75880031,24000,sales mgr.,1,125000.0,MORTGAGE
76082696,2150,Manager,10,7900.0,OWN
75144142,35000,regional manager,1,110000.0,MORTGAGE
76012935,10000,LPN,6,36000.0,RENT
75060383,15000,Vendor Warehouse,10,40000.0,MORTGAGE
75770226,12000,Casting Line Operator,2,52497.0,RENT
75899878,17825,technician,10,50000.0,MORTGAGE
75427129,14400,Manager,10,41000.0,RENT
75497767,13000,Production Worker,9,30000.0,MORTGAGE
75879821,8000,Teacher,10,120000.0,MORTGAGE
75778694,13100,Dental Assistant,5,36400.0,MORTGAGE
76111271,10000,Jail Administrator ,3,32000.0,MORTGAGE
76052170,9775,Sargent,5,43280.0,RENT
76052820,25000,Program Coordinator,10,74000.0,MORTGAGE
75993003,7800,Sales Associates,6,49000.0,MORTGAGE
73528513,16000,customer service ,3,55000.0,MORTGAGE
75709967,2400,Asst. Mgr.,9,45000.0,RENT
76112475,3600,Accounting Office,1,23000.0,RENT
75768314,10000,Shipfitter Training Leader,10,73000.0,RENT
76102266,6025,Support Administrator for Networking,10,93000.0,RENT
76013456,12000,Sales,5,80000.0,OWN
75690669,20175,Housing Asset Manager,10,67000.0,MORTGAGE
75923279,35000,RN,10,150000.0,MORTGAGE
75818921,16000,Peace Officer,10,110000.0,MORTGAGE
76112786,15000, Claim Representative,10,71645.0,OWN
76032820,29750,Cook,0,62000.0,OWN
74936215,15525,ROUTE SUPERVISOR,10,53000.0,MORTGAGE
76132971,25000,Police Sergeant,10,127524.28,MORTGAGE
75810147,35000,Salesman,2,75000.0,MORTGAGE
75779612,8000,Dietary ,0,36000.0,RENT
75748908,24700,correctional officer ,9,62000.0,MORTGAGE
75789579,2750,Line operator,0,48208.0,RENT
76051134,14000,Deputy Sheriff,10,66000.0,MORTGAGE
76112930,10000,Application Analyst,10,70000.0,RENT
75858375,11200,bartender,0,30000.0,RENT
76052903,11500,,0,31986.96,RENT
76071548,8000,Water Dept.,7,72000.0,MORTGAGE
75921692,20000,Electronics Engineer,9,85000.0,MORTGAGE
75136028,15000,Director of Critical Care,0,125000.0,MORTGAGE
75818474,2775,warehouse manager,4,42800.0,MORTGAGE
75909771,18000,Technical Support Manager,4,91800.0,MORTGAGE
75100038,10000,general manager,9,82000.0,MORTGAGE
75678347,6000,911 telecommunications ,6,27700.0,RENT
75738186,13000,Director of IT services ,5,101500.0,OWN
75910408,6000,INstrument Mechanic,10,77000.0,MORTGAGE
75992586,9625,MED ASSIST,6,41500.0,RENT
75952928,5000,Administrator,1,25000.0,OWN
76152768,2500,Logistics Supervisor,8,58000.0,OWN
75577451,13850,food prep,10,33000.0,OWN
75952409,23600,sales rep,4,59000.0,MORTGAGE
75838690,6000,Dental Assistant,2,42200.0,RENT
75848890,11700,Vice President,7,230000.0,MORTGAGE
76032904,5000,Paralegal,5,62000.0,MORTGAGE
74985153,14725,,0,90000.0,MORTGAGE
75164296,16800,Case Manager,10,83030.0,MORTGAGE
76072106,8400,Building care,10,32000.0,MORTGAGE
75973423,6000,Front Office ,2,18500.0,RENT
75943468,12000,VP Regional Program Manager,10,230000.0,OWN
76013514,8000,Category Merchandiser,10,35000.0,MORTGAGE
75194833,2400,Video Production Supervisor,10,158000.0,MORTGAGE
76062218,4925,,0,68000.0,OWN
76012893,15000,Manager,10,90000.0,MORTGAGE
75769177,15000,Associate Director,2,105000.0,RENT
76082933,8500,Customer service,9,60000.0,RENT
76082784,10000,Driver,5,31000.0,OWN
76091920,35000,Head of Investor Relations,2,417000.0,MORTGAGE
75750745,12000,,0,59000.0,MORTGAGE
75358762,24825,Shipping/ Receiving,10,54000.0,RENT
73855251,25000,Sales,0,75000.0,RENT
75991993,12000,General manager,0,38000.0,RENT
75952421,16000,Scientist,9,105000.0,RENT
75778549,3200,Medical Technologist,4,83000.0,RENT
75790777,9000,,0,35000.0,OWN
75335289,20000,Lead Engineer,0,110000.0,MORTGAGE
75992967,40000,Assistant Vice President,10,220000.0,MORTGAGE
75101692,35000,Teacher,10,132000.0,MORTGAGE
76062049,3950,Dental assistant,2,28000.0,RENT
74602852,4200,busines manager,1,95000.0,RENT
75828986,25000,Engineer ,10,195000.0,RENT
75660686,11000,fire captain,10,125000.0,MORTGAGE
75800143,5600,SFC ,10,82000.0,MORTGAGE
75517551,4200,Assembly department ,0,30000.0,MORTGAGE
76022371,11525,PROJECT MANAGER,6,46000.0,RENT
76012640,5000,CAD detailer,5,42000.0,RENT
76102674,17000,Peace offiver,9,140000.0,MORTGAGE
76052735,16000,Engineer,5,130000.0,MORTGAGE
75740429,6000,Sales,3,53334.0,OWN
76021823,8425,Administrator ,9,45000.0,RENT
76092739,15000,Institutional Services,10,55000.0,RENT
76031402,10000,Outdoor Builder ,1,35000.0,RENT
75851024,5000,,0,50400.0,OWN
75246255,7000,Security,4,33000.0,RENT
75981891,10000,,0,45000.0,OWN
73608598,6000,Accountant,10,95000.0,MORTGAGE
75150312,28000,General Manager,10,75000.0,RENT
75061763,7000,,0,20600.0,OWN
75942853,4000,Teacher,2,75000.0,MORTGAGE
75888279,1800,Teacher,0,27040.0,OWN
75890919,8250,electronic technician,10,27560.0,MORTGAGE
75931801,5000,Retail,8,35000.0,RENT
76071237,5000,parts driver,4,35000.0,RENT
75961943,6000,Janitorial ,2,30000.0,OWN
75645165,12600,Engineer,10,62000.0,OWN
75951693,15000,Comptoller,2,78000.0,MORTGAGE
75251953,32000,Accountant,10,225000.0,OWN
75397358,22425,program advisor ,1,44850.0,RENT
75222862,35000,Laborer,10,83000.0,MORTGAGE
75700193,32000,Supervisory Analyst,10,205000.0,MORTGAGE
75284012,5000,Therapist,10,75000.0,OWN
76142669,22500,Desktop Analyst,5,50000.0,RENT
73824723,6000,culinary assistance,7,30000.0,RENT
75890175,19200,Administrative Assistant,3,44000.0,OWN
75972727,35000,Sr. Systems Engineer,4,145500.0,RENT
75922692,5000,Accounting Clerk,0,26800.0,MORTGAGE
76012322,9500,CNA,0,35000.0,MORTGAGE
76132713,20000,Senior HR Administrator,9,65000.0,MORTGAGE
75750734,20000,sales,3,75000.0,OWN
76122567,18000,Financial advisor,10,90000.0,RENT
75468058,25000,Heavy Equipment Operator ,10,90000.0,RENT
76042667,20000,Vice President ,6,150000.0,MORTGAGE
75669064,12000,Supply Chain Manager,9,170000.0,OWN
74504800,14000,owner / operator,5,54000.0,RENT
75607148,7475,customer service,0,25000.0,MORTGAGE
75091052,7500,Utility Technician,10,93000.0,MORTGAGE
75061719,7900,PCA,1,22000.0,RENT
75295661,10000,Mechanic ,1,50000.0,RENT
75962415,2000,Hardware Test Technician,9,65000.0,RENT
75060009,22000,welder/sander,5,50000.0,MORTGAGE
75982141,9000,Accounts Receivable representative,2,45000.0,RENT
76002700,24000,customs officer,10,123000.0,MORTGAGE
75428338,32650,Mortgage Loan Post Closing Manager,10,71000.0,MORTGAGE
76112201,20000,Broker / Property manager,3,110000.0,MORTGAGE
75972503,35000,Correctional officer,7,81344.0,MORTGAGE
75367547,4000,,0,31000.0,MORTGAGE
75408044,20000,Rig Mechanic,5,135000.0,MORTGAGE
75315911,5000,Sorter,8,69500.0,OWN
75417293,3900,Developmentalist,10,35000.0,OWN
76122512,18000,Manager,10,110000.0,MORTGAGE
76061616,40000,Electrical Engineer,10,130000.0,MORTGAGE
75943244,10000,MDS MANAGER,10,74000.0,MORTGAGE
75608113,9500,Bartender,4,19000.0,MORTGAGE
75598365,12500,HR Manager,5,70209.0,MORTGAGE
76082304,24825,Division Controller,0,110000.0,OWN
76141710,15000,supervisor,6,84000.0,MORTGAGE
75100035,35000,Economist,7,178500.0,MORTGAGE
75952623,25000,"Exec Dir, Busn Ops",10,121500.0,MORTGAGE
76032282,15600,Data Analyst,9,100000.0,MORTGAGE
76042186,6000,Director of Human resources,9,109000.0,RENT
75922292,6000,Physical Therapist,2,90000.0,RENT
75051030,4350,Explosive Materials Handler,10,61000.0,MORTGAGE
76122240,15000,Supervisory ER/LR Specialist,4,97137.0,OWN
76091299,35000,Mission Support Specialist ,10,72000.0,MORTGAGE
75942478,6400,Meat Cutter,4,32000.0,RENT
73733935,6000,Owner/Operator,0,65000.0,MORTGAGE
75145978,7500,Premier Solutions,0,34000.0,RENT
76062187,8000,Auto industry ,10,97000.0,RENT
75921358,12000,Teacher,10,90000.0,MORTGAGE
75760086,4000,Personal Banker,0,33000.0,RENT
75800144,2925,Cashier,0,20000.0,RENT
75304418,6300,Office Specalist,10,34000.0,MORTGAGE
76122293,16000,Lead Teacher,10,55000.0,RENT
75170911,35000,RN,10,104000.0,MORTGAGE
75359047,5000,Prep Cook,2,33000.0,RENT
73714133,6100,,0,35000.0,MORTGAGE
74895940,25000,Director of Marketing,1,185000.0,MORTGAGE
75123233,21000,Senior Vice President,3,165000.0,MORTGAGE
75367880,33600,Sargent ,10,108000.0,OWN
75780083,5000,Swing Manager,3,16000.0,RENT
76092160,40000,Project Manager,5,140000.0,MORTGAGE
75649921,9600,Group Supervisor ,3,50000.0,RENT
76072282,24000,Lead Accountant,3,94000.0,MORTGAGE
75780660,4675,Administrative Asst.,3,55000.0,MORTGAGE
76082732,15000,Finance Manager,10,72500.0,RENT
75952344,12000,credit analysis,5,148000.0,MORTGAGE
75961242,2800,Inventory control analyst,8,69000.0,OWN
73518890,4800,Escrow Officer,10,83000.0,MORTGAGE
75679474,9000,therapist,1,60000.0,OWN
76072195,10000,,0,52000.0,MORTGAGE
75303316,17000,General manager ,10,200000.0,RENT
75133897,9425,delivery cooridinator,10,90000.0,MORTGAGE
75437353,14000,Chief Financial officer,3,80000.0,MORTGAGE
75691064,7125,,0,55000.0,MORTGAGE
75810641,4250,Executive Administrative Assistant,7,51000.0,MORTGAGE
76121963,2800,Metrologist,5,54000.0,RENT
76121847,2200,Analyst,10,60000.0,RENT
76092203,10000,Finance,10,94000.0,MORTGAGE
76012393,9525,RN,10,92000.0,MORTGAGE
75699162,8000,Pyxis system coordinator ,4,50000.0,RENT
75249430,18000,IT Engineer,9,91000.0,MORTGAGE
75798587,1500,commercial operator,5,37000.0,RENT
75921137,34500,Financial Services Rep II,10,75000.0,RENT
75250083,40000,AIR TRAFFIC CONTROLER,10,125000.0,MORTGAGE
75932068,5200,Banquets server,10,50000.0,MORTGAGE
75810618,18900,Sales Associate,4,45000.0,OWN
75790080,24800,Department Head,10,135000.0,RENT
75377658,18000,Owner,10,50000.0,RENT
75135464,6000,server,1,45000.0,RENT
75255470,5000,Productio Operations ,7,65000.0,RENT
75921658,35000,CIO,2,250000.0,MORTGAGE
76072154,7000,Network Engineer,3,62000.0,MORTGAGE
76081848,12300,,0,82000.0,OWN
76091374,12000,SMSRII,5,45000.0,RENT
75315587,10000,Flight Attendant,10,84000.0,RENT
76121983,19200,Managing Member,8,60000.0,RENT
76061757,10000,Senior psych tech,10,65000.0,OWN
75357403,16525,Senior Call Representative,1,57000.0,OWN
75868575,30000,Project Manager,8,115000.0,MORTGAGE
76061839,2000,Account Executive,10,52000.0,MORTGAGE
75992025,15500,WPS II,1,43000.0,RENT
76101184,16400,Sales,4,160000.0,RENT
76061602,26700,Firefighter,9,60000.0,MORTGAGE
76121245,9000,Office Fullfilment Services Manager,0,105000.0,RENT
76052142,3000,RN,10,95000.0,MORTGAGE
76152076,26350,Import Specialist,10,84000.0,MORTGAGE
76111123,6000,server,2,80000.0,MORTGAGE
75710468,12750,Supply Chain Consultant,10,120000.0,MORTGAGE
75972021,23000,Specialist,0,50000.0,RENT
75942319,12000,Web Developer,5,110000.0,RENT
76122055,5000,Dept manager ,10,37000.0,MORTGAGE
75282481,2800,Storekeeper II,1,30000.0,MORTGAGE
75145773,2500,Safety Coordinator,10,83691.0,MORTGAGE
76082164,19200,Solutions Engineer,1,140000.0,MORTGAGE
75879758,15000,Toolmaker,10,58000.0,RENT
75819448,11200,Manager,5,76000.0,RENT
74764704,24000,Customer Engineer,0,105000.0,MORTGAGE
74885491,6000,Receiver,3,22000.0,RENT
76141628,15000,RN,6,74000.0,OWN
76141527,3975,,0,15612.0,OWN
76112036,10000,Assistant Branch Manager ,1,47000.0,RENT
73141868,28025,,0,70000.0,MORTGAGE
75093705,35000,Driller,10,125000.0,MORTGAGE
75820776,12000,IT Support,1,48000.0,MORTGAGE
76142091,10000,Assistant Manager,1,51000.0,RENT
76061808,5000,president,10,250000.0,MORTGAGE
76041772,24450,INDUSTRIAL PAINTER,10,77000.0,RENT
75112629,25000,armed officer,3,82000.0,RENT
76151311,25000,Contract administration ,10,105000.0,MORTGAGE
75548425,9150,dental receptionist ,10,51000.0,RENT
76082426,10000,Real Estate Agent,3,96000.0,MORTGAGE
75991944,22000,Deputy Probation Officer,10,91611.56,RENT
75397314,8000,teacher,1,45000.0,RENT
75992050,1000,Private Caretaker,2,41040.0,RENT
76122012,23075,,0,50400.0,MORTGAGE
76082193,9000,Account Executive,9,90000.0,MORTGAGE
75223809,10400,Administrative Assistant,10,54000.0,MORTGAGE
76051948,8000,Registered Nurse,2,72000.0,RENT
75369023,10000,Team Leader,3,58000.0,OWN
75981182,18000,Sales ,8,86000.0,OWN
76012223,8400,Forklift driver ,10,53000.0,MORTGAGE
75457514,21600,Aircraft Mechanic,0,84000.0,OWN
76092067,3000,Graduate Advisor,10,64300.0,MORTGAGE
66016217,35000,PHYSICIAN,8,167000.0,MORTGAGE
75273062,8000,Bartender,4,50000.0,RENT
75567771,4000,sales associate,10,58000.0,RENT
76002035,12000,Sales,3,100000.0,OWN
75708906,18000,Sr Safety Systems Engineer,5,115000.0,MORTGAGE
75358169,9825,Nurse,10,37697.0,MORTGAGE
75992027,7675,Family Nurse Practitioner,1,100000.0,OWN
75234076,20000,Superintendent ,10,168764.0,RENT
75942392,3000,Outreach and enrollment specialist ,0,38000.0,RENT
74545010,20000,Transit Vehicle Technician,2,40000.0,MORTGAGE
76082055,19200,Supervisor,4,105000.0,MORTGAGE
76041268,9600,Engineering Manager,6,99000.0,MORTGAGE
75114565,32000,(ET1)Electronics Technichian First Class,10,72000.0,MORTGAGE
75368518,5000,COOK SUPERVISOR,1,22000.0,MORTGAGE
76142103,15000,Planner,8,69000.0,RENT
75942267,12000,Community Manager,2,65000.0,RENT
75869497,10000,Mechanic,10,41000.0,MORTGAGE
73936408,35000,Equipment Specialist,10,110000.0,MORTGAGE
75322871,25000,Senior Account Manager,3,117000.0,RENT
75060694,33075,,0,90000.0,MORTGAGE
75858814,5000,Firefighter,2,44000.0,RENT
76151593,12150,Administrative assistant ,3,40000.0,RENT
74646337,16000,Accounts payable clerk,6,50000.0,OWN
76001797,26000,Technician,4,75000.0,MORTGAGE
74795241,30000,Bookkeeper,3,175000.0,MORTGAGE
75387737,19000,Teacher / Coach,4,57000.0,MORTGAGE
76092134,23100,General manager,3,55000.0,RENT
73895716,11375,Office Assistant,7,49996.0,MORTGAGE
76101713,16000,Public Facilities Electronic Security Co,10,95000.0,MORTGAGE
76091649,28000,Line tech,10,118000.0,MORTGAGE
75780678,8950,Care Giver,2,30000.0,MORTGAGE
75779809,15400,Paralegal,9,43000.0,MORTGAGE
75981755,8000,Inspector,10,52000.0,MORTGAGE
75408273,12000,,0,50000.0,RENT
75850891,1500,manager,8,38000.0,OWN
75820296,20000,Physician assistant,7,160000.0,MORTGAGE
75202457,35000,Systems Analyst,10,125000.0,MORTGAGE
76012139,13000,Supervisor,8,65000.0,OWN
76051832,15000,Finanaical Advisor,5,95000.0,RENT
75931779,20000,Cooler Mover,10,59660.0,RENT
76101483,25425,E/I tech ,10,125000.0,OWN
75658781,12500,Manager,9,100000.0,OWN
75710126,4000,Child care teacher,9,20000.0,MORTGAGE
75368563,12600,PROJECT ASSISTANT,1,35000.0,RENT
75437120,16000,Associate,10,75000.0,OWN
76011968,25000,Attorney,3,190000.0,OWN
75961847,2500,Aircraft Maintenance Officer,10,103692.0,MORTGAGE
