id,grade,home_ownership,sub_grade,int_rate,mort_acc,is_good_customer
75192403,C,MORTGAGE,C2,12.99,3,yes
76072257,A,MORTGAGE,A3,6.97,2,yes
76143376,B,RENT,B4,10.75,0,yes
76123095,A,MORTGAGE,A1,5.32,0,no
75951346,A,MORTGAGE,A4,7.39,11,yes
76082640,C,OWN,C5,15.31,1,yes
75972966,B,MORTGAGE,B3,9.75,4,yes
76091940,C,RENT,C1,11.99,0,no
76143399,B,RENT,B5,11.47,0,yes
75679282,D,MORTGAGE,D2,17.27,2,yes
75951988,B,RENT,B5,11.47,0,yes
75708129,E,MORTGAGE,E3,21.18,0,yes
76033151,F,MORTGAGE,F1,23.13,6,yes
75910801,D,MORTGAGE,D3,18.25,2,yes
76072792,D,RENT,D2,17.27,0,no
75850924,D,MORTGAGE,D5,19.53,3,no
75670454,C,RENT,C2,12.99,0,yes
75497592,C,RENT,C1,11.99,0,yes
75357127,C,OWN,C5,15.31,1,yes
75104253,D,MORTGAGE,D4,18.99,3,yes
75869408,D,OWN,D1,16.29,0,no
75738495,D,RENT,D1,16.29,0,no
76023025,D,MORTGAGE,D1,16.29,1,yes
75718330,D,MORTGAGE,D4,18.99,1,yes
76021153,G,RENT,G3,28.34,3,no
75759435,B,RENT,B2,9.16,0,yes
76123099,C,MORTGAGE,C3,13.67,1,yes
75870235,C,MORTGAGE,C4,14.46,3,no
75869567,A,MORTGAGE,A1,5.32,1,yes
75285159,B,MORTGAGE,B4,10.75,2,yes
75508136,E,OWN,E1,19.99,0,no
76042992,E,OWN,E5,22.45,0,no
76092461,F,RENT,F5,26.57,0,no
75145652,D,MORTGAGE,D5,19.53,2,no
75119746,B,MORTGAGE,B2,9.16,1,no
75993107,D,RENT,D3,18.25,0,yes
75323433,A,RENT,A5,7.89,1,no
75315482,D,OWN,D1,16.29,0,yes
76043248,B,MORTGAGE,B4,10.75,0,yes
75051310,D,RENT,D2,17.27,0,no
75700081,C,OWN,C4,14.46,1,yes
75942457,B,MORTGAGE,B5,11.47,0,yes
74071786,B,RENT,B2,9.16,0,yes
75299880,D,MORTGAGE,D5,19.53,3,yes
75538274,B,RENT,B4,10.75,0,no
76103002,B,RENT,B2,9.16,1,yes
74673963,A,RENT,A5,7.89,2,yes
75729618,C,RENT,C1,11.99,1,yes
76042124,B,MORTGAGE,B3,9.75,2,no
75286109,D,RENT,D4,18.99,0,yes
30325796,A,MORTGAGE,A1,5.32,2,no
74876279,E,OWN,E3,21.18,2,yes
75357228,D,MORTGAGE,D1,16.29,2,no
76052405,E,MORTGAGE,E1,19.99,3,yes
75123857,D,MORTGAGE,D4,18.99,7,yes
75942270,B,MORTGAGE,B5,11.47,1,yes
76152560,D,RENT,D2,17.27,0,yes
75359239,C,MORTGAGE,C1,11.99,1,yes
75953006,E,RENT,E4,21.97,0,no
76073156,A,MORTGAGE,A5,7.89,2,yes
76042928,C,MORTGAGE,C4,14.46,1,yes
75962900,C,RENT,C1,11.99,1,yes
74654564,B,RENT,B4,10.75,0,yes
75488248,B,MORTGAGE,B2,9.16,6,yes
75150382,B,MORTGAGE,B5,11.47,2,yes
75838646,B,OWN,B5,11.47,1,yes
75618129,B,RENT,B4,10.75,0,yes
76102340,D,MORTGAGE,D2,17.27,0,yes
76012315,D,RENT,D4,18.99,0,yes
76021743,D,MORTGAGE,D2,17.27,2,no
75923155,A,MORTGAGE,A1,5.32,1,yes
76152721,B,MORTGAGE,B1,8.39,2,yes
75848560,C,MORTGAGE,C2,12.99,3,yes
76042739,B,RENT,B3,9.75,0,yes
76002823,B,MORTGAGE,B4,10.75,6,no
75350207,E,MORTGAGE,E1,19.99,1,yes
75377738,C,MORTGAGE,C1,11.99,2,yes
76133127,A,MORTGAGE,A1,5.32,2,yes
75262809,C,OWN,C1,11.99,2,yes
76022472,D,RENT,D2,17.27,0,yes
76122924,F,MORTGAGE,F2,24.11,4,yes
75275636,A,RENT,A1,5.32,0,yes
75253985,C,MORTGAGE,C1,11.99,3,yes
75880031,A,MORTGAGE,A3,6.97,5,no
76082696,C,OWN,C2,12.99,0,yes
75144142,B,MORTGAGE,B5,11.47,0,yes
76012935,D,RENT,D3,18.25,0,no
75060383,B,MORTGAGE,B3,9.75,0,no
75770226,C,RENT,C5,15.31,0,yes
75899878,C,MORTGAGE,C2,12.99,4,yes
75427129,D,RENT,D5,19.53,0,yes
75497767,C,MORTGAGE,C4,14.46,3,no
75879821,A,MORTGAGE,A3,6.97,3,no
75778694,D,MORTGAGE,D2,17.27,2,no
76111271,B,MORTGAGE,B2,9.16,2,yes
76052170,C,RENT,C4,14.46,0,yes
76052820,C,MORTGAGE,C3,13.67,4,yes
75993003,F,MORTGAGE,F5,26.57,1,yes
73528513,A,MORTGAGE,A4,7.39,2,no
75709967,C,RENT,C3,13.67,0,yes
76112475,C,RENT,C3,13.67,4,yes
75768314,C,RENT,C1,11.99,0,yes
76102266,B,RENT,B4,10.75,5,yes
76013456,A,OWN,A1,5.32,4,no
75690669,C,MORTGAGE,C2,12.99,1,yes
75923279,B,MORTGAGE,B5,11.47,3,yes
75818921,C,MORTGAGE,C2,12.99,4,no
76112786,B,OWN,B2,9.16,2,no
76032820,D,OWN,D2,17.27,3,no
74936215,F,MORTGAGE,F1,23.13,6,no
76132971,E,MORTGAGE,E2,20.75,4,no
75810147,D,MORTGAGE,D2,17.27,3,yes
75779612,C,RENT,C1,11.99,0,yes
75748908,B,MORTGAGE,B3,9.75,3,yes
75789579,C,RENT,C1,11.99,0,yes
76051134,B,MORTGAGE,B3,9.75,3,yes
76112930,A,RENT,A2,6.49,0,yes
75858375,C,RENT,C1,11.99,0,no
76052903,D,RENT,D3,18.25,0,yes
76071548,C,MORTGAGE,C2,12.99,7,no
75921692,A,MORTGAGE,A1,5.32,2,yes
75136028,C,MORTGAGE,C1,11.99,5,yes
75818474,D,MORTGAGE,D3,18.25,4,yes
75909771,B,MORTGAGE,B5,11.47,4,yes
75100038,A,MORTGAGE,A5,7.89,4,yes
75678347,B,RENT,B3,9.75,1,yes
75738186,A,OWN,A2,6.49,2,yes
75910408,C,MORTGAGE,C3,13.67,3,yes
75992586,D,RENT,D1,16.29,0,yes
75952928,B,OWN,B5,11.47,2,yes
76152768,B,OWN,B1,8.39,2,yes
75577451,D,OWN,D2,17.27,5,no
75952409,B,MORTGAGE,B5,11.47,4,yes
75838690,C,RENT,C2,12.99,0,yes
75848890,F,MORTGAGE,F1,23.13,4,yes
76032904,A,MORTGAGE,A4,7.39,5,yes
74985153,E,MORTGAGE,E1,19.99,3,no
75164296,C,MORTGAGE,C2,12.99,3,no
76072106,B,MORTGAGE,B3,9.75,1,yes
75973423,E,RENT,E1,19.99,0,yes
75943468,B,OWN,B1,8.39,1,yes
76013514,B,MORTGAGE,B1,8.39,2,yes
75194833,C,MORTGAGE,C4,14.46,3,yes
76062218,E,OWN,E1,19.99,1,yes
76012893,A,MORTGAGE,A2,6.49,3,yes
75769177,B,RENT,B4,10.75,0,yes
76082933,D,RENT,D1,16.29,5,no
76082784,B,OWN,B5,11.47,0,yes
76091920,E,MORTGAGE,E3,21.18,0,yes
75750745,C,MORTGAGE,C1,11.99,3,no
75358762,E,RENT,E2,20.75,0,no
73855251,D,RENT,D5,19.53,2,no
75991993,D,RENT,D1,16.29,0,yes
75952421,C,RENT,C4,14.46,0,yes
75778549,C,RENT,C1,11.99,0,yes
75790777,D,OWN,D2,17.27,2,yes
75335289,D,MORTGAGE,D5,19.53,4,yes
75992967,B,MORTGAGE,B3,9.75,6,yes
75101692,C,MORTGAGE,C2,12.99,4,no
76062049,E,RENT,E2,20.75,0,no
74602852,B,RENT,B3,9.75,1,yes
75828986,D,RENT,D2,17.27,0,no
75660686,C,MORTGAGE,C3,13.67,4,no
75800143,C,MORTGAGE,C3,13.67,2,no
75517551,D,MORTGAGE,D3,18.25,1,no
76022371,C,RENT,C4,14.46,0,yes
76012640,D,RENT,D4,18.99,0,yes
76102674,B,MORTGAGE,B2,9.16,4,yes
76052735,C,MORTGAGE,C3,13.67,4,yes
75740429,B,OWN,B4,10.75,1,no
76021823,B,RENT,B5,11.47,1,yes
76092739,C,RENT,C1,11.99,1,yes
76031402,A,RENT,A5,7.89,0,yes
75851024,D,OWN,D3,18.25,0,no
75246255,B,RENT,B2,9.16,0,yes
75981891,A,OWN,A2,6.49,1,yes
73608598,B,MORTGAGE,B5,11.47,5,yes
75150312,A,RENT,A2,6.49,0,no
75061763,C,OWN,C3,13.67,0,no
75942853,C,MORTGAGE,C4,14.46,2,no
75888279,F,OWN,F1,23.13,0,yes
75890919,F,MORTGAGE,F5,26.57,1,no
75931801,A,RENT,A5,7.89,0,yes
76071237,B,RENT,B3,9.75,0,yes
75961943,D,OWN,D3,18.25,0,no
75645165,G,OWN,G4,28.67,1,no
75951693,B,MORTGAGE,B4,10.75,0,yes
75251953,A,OWN,A1,5.32,3,yes
75397358,D,RENT,D3,18.25,0,no
75222862,C,MORTGAGE,C2,12.99,2,yes
75700193,C,MORTGAGE,C3,13.67,3,yes
75284012,B,OWN,B3,9.75,2,no
76142669,A,RENT,A5,7.89,0,yes
73824723,B,RENT,B1,8.39,0,no
75890175,C,OWN,C5,15.31,0,no
75972727,B,RENT,B2,9.16,0,yes
75922692,A,MORTGAGE,A3,6.97,0,yes
76012322,B,MORTGAGE,B3,9.75,1,no
76132713,E,MORTGAGE,E3,21.18,1,yes
75750734,E,OWN,E3,21.18,2,no
76122567,C,RENT,C4,14.46,5,yes
75468058,D,RENT,D4,18.99,0,yes
76042667,A,MORTGAGE,A4,7.39,1,yes
75669064,C,OWN,C1,11.99,2,yes
74504800,A,RENT,A2,6.49,0,yes
75607148,D,MORTGAGE,D3,18.25,1,yes
75091052,B,MORTGAGE,B5,11.47,3,no
75061719,D,RENT,D3,18.25,0,no
75295661,B,RENT,B4,10.75,0,yes
75962415,D,RENT,D2,17.27,0,yes
75060009,E,MORTGAGE,E5,22.45,3,yes
75982141,C,RENT,C3,13.67,4,no
76002700,A,MORTGAGE,A1,5.32,3,no
75428338,D,MORTGAGE,D5,19.53,4,no
76112201,D,MORTGAGE,D4,18.99,2,yes
75972503,D,MORTGAGE,D3,18.25,3,yes
75367547,C,MORTGAGE,C2,12.99,2,yes
75408044,B,MORTGAGE,B3,9.75,3,no
75315911,A,OWN,A1,5.32,0,no
75417293,F,OWN,F4,25.88,0,no
76122512,C,MORTGAGE,C1,11.99,1,yes
76061616,B,MORTGAGE,B4,10.75,2,no
75943244,D,MORTGAGE,D4,18.99,3,no
75608113,D,MORTGAGE,D3,18.25,0,yes
75598365,D,MORTGAGE,D3,18.25,5,yes
76082304,A,OWN,A2,6.49,4,yes
76141710,E,MORTGAGE,E1,19.99,1,yes
75100035,D,MORTGAGE,D2,17.27,1,yes
75952623,C,MORTGAGE,C3,13.67,2,yes
76032282,A,MORTGAGE,A3,6.97,3,yes
76042186,A,RENT,A3,6.97,0,yes
75922292,A,RENT,A1,5.32,0,yes
75051030,C,MORTGAGE,C2,12.99,1,yes
76122240,A,OWN,A3,6.97,4,yes
76091299,C,MORTGAGE,C1,11.99,2,yes
75942478,D,RENT,D1,16.29,0,yes
73733935,B,MORTGAGE,B3,9.75,1,yes
75145978,C,RENT,C2,12.99,0,no
76062187,A,RENT,A3,6.97,0,no
75921358,A,MORTGAGE,A1,5.32,2,yes
75760086,C,RENT,C1,11.99,0,yes
75800144,C,RENT,C4,14.46,0,yes
75304418,E,MORTGAGE,E2,20.75,4,no
76122293,C,RENT,C5,15.31,2,no
75170911,D,MORTGAGE,D2,17.27,1,yes
75359047,C,RENT,C2,12.99,0,no
73714133,E,MORTGAGE,E5,22.45,1,yes
74895940,A,MORTGAGE,A1,5.32,5,yes
75123233,F,MORTGAGE,F2,24.11,3,no
75367880,D,OWN,D3,18.25,5,yes
75780083,C,RENT,C2,12.99,0,no
76092160,B,MORTGAGE,B3,9.75,2,yes
75649921,F,RENT,F1,23.13,0,yes
76072282,B,MORTGAGE,B5,11.47,1,yes
75780660,D,MORTGAGE,D5,19.53,2,no
76082732,D,RENT,D2,17.27,0,yes
75952344,A,MORTGAGE,A4,7.39,0,yes
75961242,C,OWN,C1,11.99,0,yes
73518890,C,MORTGAGE,C5,15.31,3,yes
75679474,D,OWN,D4,18.99,0,yes
76072195,B,MORTGAGE,B3,9.75,3,yes
75303316,C,RENT,C2,12.99,0,no
75133897,D,MORTGAGE,D2,17.27,5,yes
75437353,C,MORTGAGE,C5,15.31,1,yes
75691064,D,MORTGAGE,D5,19.53,3,no
75810641,C,MORTGAGE,C3,13.67,4,yes
76121963,C,RENT,C3,13.67,0,yes
76121847,D,RENT,D2,17.27,1,yes
76092203,C,MORTGAGE,C3,13.67,1,no
76012393,D,MORTGAGE,D2,17.27,3,no
75699162,B,RENT,B2,9.16,0,yes
75249430,B,MORTGAGE,B4,10.75,5,yes
75798587,C,RENT,C3,13.67,0,no
75921137,E,RENT,E2,20.75,0,no
75250083,B,MORTGAGE,B4,10.75,4,yes
75932068,C,MORTGAGE,C1,11.99,1,yes
75810618,E,OWN,E5,22.45,0,no
75790080,B,RENT,B4,10.75,3,yes
75377658,D,RENT,D2,17.27,0,yes
75135464,B,RENT,B3,9.75,0,yes
75255470,C,RENT,C4,14.46,0,yes
75921658,A,MORTGAGE,A1,5.32,5,yes
76072154,C,MORTGAGE,C5,15.31,4,yes
76081848,E,OWN,E2,20.75,1,yes
76091374,A,RENT,A4,7.39,0,yes
75315587,B,RENT,B4,10.75,1,yes
76121983,E,RENT,E3,21.18,0,yes
76061757,C,OWN,C3,13.67,3,no
75357403,D,OWN,D1,16.29,3,no
75868575,A,MORTGAGE,A1,5.32,2,yes
76061839,E,MORTGAGE,E4,21.97,2,yes
75992025,D,RENT,D2,17.27,0,no
76101184,B,RENT,B5,11.47,3,yes
76061602,G,MORTGAGE,G4,28.67,4,no
76121245,A,RENT,A5,7.89,0,yes
76052142,F,MORTGAGE,F1,23.13,2,yes
76152076,D,MORTGAGE,D5,19.53,2,yes
76111123,B,MORTGAGE,B3,9.75,1,yes
75710468,C,MORTGAGE,C2,12.99,2,yes
75972021,C,RENT,C4,14.46,0,no
75942319,C,RENT,C3,13.67,0,yes
76122055,E,MORTGAGE,E2,20.75,1,yes
75282481,A,MORTGAGE,A5,7.89,4,yes
75145773,C,MORTGAGE,C2,12.99,1,yes
76082164,F,MORTGAGE,F3,24.99,2,yes
75879758,C,RENT,C4,14.46,1,no
75819448,E,RENT,E1,19.99,0,no
74764704,B,MORTGAGE,B1,8.39,5,yes
74885491,C,RENT,C4,14.46,0,yes
76141628,B,OWN,B5,11.47,1,yes
76141527,E,OWN,E3,21.18,0,no
76112036,C,RENT,C3,13.67,0,yes
73141868,C,MORTGAGE,C2,12.99,2,yes
75093705,G,MORTGAGE,G1,27.34,5,no
75820776,E,MORTGAGE,E1,19.99,3,no
76142091,C,RENT,C4,14.46,0,yes
76061808,B,MORTGAGE,B5,11.47,6,yes
76041772,G,RENT,G5,28.99,0,no
75112629,D,RENT,D2,17.27,0,yes
76151311,C,MORTGAGE,C2,12.99,7,yes
75548425,D,RENT,D1,16.29,3,no
76082426,B,MORTGAGE,B1,8.39,1,yes
75991944,E,RENT,E2,20.75,0,yes
75397314,B,RENT,B5,11.47,2,yes
75992050,B,RENT,B3,9.75,0,yes
76122012,F,MORTGAGE,F1,23.13,4,no
76082193,C,MORTGAGE,C2,12.99,2,yes
75223809,E,MORTGAGE,E1,19.99,3,yes
76051948,B,RENT,B5,11.47,0,yes
75369023,D,OWN,D3,18.25,1,yes
75981182,E,OWN,E1,19.99,0,yes
76012223,C,MORTGAGE,C2,12.99,3,yes
75457514,C,OWN,C3,13.67,1,yes
76092067,B,MORTGAGE,B5,11.47,2,yes
66016217,F,MORTGAGE,F1,23.13,2,yes
75273062,B,RENT,B1,8.39,3,no
75567771,D,RENT,D3,18.25,0,yes
76002035,B,OWN,B3,9.75,3,yes
75708906,A,MORTGAGE,A3,6.97,3,yes
75358169,D,MORTGAGE,D5,19.53,2,no
75992027,C,OWN,C1,11.99,0,no
75234076,A,RENT,A1,5.32,3,yes
75942392,F,RENT,F1,23.13,0,no
74545010,E,MORTGAGE,E3,21.18,3,no
76082055,D,MORTGAGE,D2,17.27,1,yes
76041268,B,MORTGAGE,B3,9.75,13,yes
75114565,C,MORTGAGE,C5,15.31,1,no
75368518,C,MORTGAGE,C1,11.99,3,no
76142103,C,RENT,C4,14.46,0,no
75942267,D,RENT,D2,17.27,1,yes
75869497,B,MORTGAGE,B5,11.47,2,yes
73936408,E,MORTGAGE,E1,19.99,2,no
75322871,C,RENT,C3,13.67,0,no
75060694,F,MORTGAGE,F1,23.13,4,no
75858814,C,RENT,C3,13.67,0,yes
76151593,E,RENT,E4,21.97,0,yes
74646337,A,OWN,A2,6.49,2,yes
76001797,A,MORTGAGE,A3,6.97,1,yes
74795241,A,MORTGAGE,A1,5.32,2,yes
75387737,E,MORTGAGE,E1,19.99,2,yes
76092134,C,RENT,C3,13.67,0,no
73895716,D,MORTGAGE,D5,19.53,3,yes
76101713,B,MORTGAGE,B4,10.75,6,yes
76091649,E,MORTGAGE,E2,20.75,3,no
75780678,D,MORTGAGE,D5,19.53,1,yes
75779809,D,MORTGAGE,D5,19.53,1,no
75981755,C,MORTGAGE,C1,11.99,1,yes
75408273,B,RENT,B4,10.75,0,yes
75850891,E,OWN,E2,20.75,0,no
75820296,C,MORTGAGE,C1,11.99,3,yes
75202457,C,MORTGAGE,C4,14.46,8,no
76012139,B,OWN,B2,9.16,5,yes
76051832,C,RENT,C5,15.31,0,yes
75931779,D,RENT,D5,19.53,4,no
76101483,F,OWN,F1,23.13,4,no
75658781,C,OWN,C5,15.31,2,no
75710126,C,MORTGAGE,C4,14.46,2,no
75368563,G,RENT,G2,28.14,0,yes
75437120,E,OWN,E1,19.99,2,yes
76011968,A,OWN,A2,6.49,8,yes
75961847,E,MORTGAGE,E1,19.99,2,yes
73701957,E,RENT,E4,21.97,0,no
75172858,C,OWN,C2,12.99,0,no
76001839,C,MORTGAGE,C3,13.67,3,yes
75587338,C,MORTGAGE,C3,13.67,2,yes
75690567,C,MORTGAGE,C1,11.99,2,yes
75143468,F,MORTGAGE,F1,23.13,4,yes
75971175,E,MORTGAGE,E4,21.97,3,yes
76131885,C,MORTGAGE,C3,13.67,5,yes
75659277,C,RENT,C4,14.46,2,no
75134436,C,MORTGAGE,C5,15.31,4,no
75049128,C,MORTGAGE,C5,15.31,3,no
75750943,A,OWN,A1,5.32,0,yes
76121547,F,RENT,F5,26.57,1,no
75059605,B,MORTGAGE,B5,11.47,4,no
75819609,E,RENT,E1,19.99,1,no
75981895,A,RENT,A5,7.89,0,yes
75367664,E,MORTGAGE,E3,21.18,4,yes
75689956,B,RENT,B4,10.75,1,yes
76001747,B,RENT,B5,11.47,0,yes
75878856,A,RENT,A2,6.49,0,yes
75839663,G,RENT,G2,28.14,0,no
75749382,B,MORTGAGE,B3,9.75,1,no
72754715,C,MORTGAGE,C2,12.99,6,yes
75448308,C,RENT,C4,14.46,0,no
76031857,C,MORTGAGE,C3,13.67,3,yes
76051319,A,MORTGAGE,A1,5.32,6,yes
75233830,C,MORTGAGE,C4,14.46,3,no
75645161,A,RENT,A1,5.32,4,yes
74492964,F,RENT,F2,24.11,0,no
75780802,E,RENT,E2,20.75,0,yes
75244585,D,MORTGAGE,D4,18.99,3,yes
75260725,A,OWN,A4,7.39,2,yes
75617626,E,RENT,E5,22.45,0,no
75144756,E,MORTGAGE,E1,19.99,1,no
75195079,B,MORTGAGE,B2,9.16,2,yes
75698908,E,RENT,E3,21.18,0,no
75407301,A,MORTGAGE,A2,6.49,3,yes
73397789,B,MORTGAGE,B4,10.75,7,yes
75242351,C,MORTGAGE,C5,15.31,1,no
75263624,C,MORTGAGE,C5,15.31,0,no
75285829,B,RENT,B1,8.39,0,yes
76011745,B,RENT,B4,10.75,0,no
76071382,A,MORTGAGE,A1,5.32,4,yes
75659508,G,RENT,G1,27.34,5,yes
76012101,A,MORTGAGE,A1,5.32,3,yes
75890654,D,MORTGAGE,D4,18.99,0,no
75909488,B,MORTGAGE,B5,11.47,1,yes
75749913,E,RENT,E1,19.99,0,no
75377461,C,OWN,C2,12.99,0,yes
75818337,B,MORTGAGE,B1,8.39,4,yes
75679598,C,RENT,C4,14.46,0,no
75981605,C,RENT,C4,14.46,1,no
75850100,C,RENT,C2,12.99,3,yes
75829501,C,MORTGAGE,C3,13.67,5,yes
75840615,A,MORTGAGE,A5,7.89,4,yes
75981821,B,RENT,B1,8.39,0,yes
75125691,B,MORTGAGE,B2,9.16,0,yes
75660488,D,MORTGAGE,D3,18.25,2,yes
76021540,B,MORTGAGE,B4,10.75,5,no
75729567,F,MORTGAGE,F3,24.99,2,yes
76101252,A,RENT,A3,6.97,1,yes
75234446,D,MORTGAGE,D3,18.25,2,no
75818942,F,RENT,F3,24.99,0,no
75850542,C,MORTGAGE,C2,12.99,6,yes
75547555,E,RENT,E1,19.99,0,no
75698553,B,MORTGAGE,B4,10.75,4,yes
75285600,D,MORTGAGE,D5,19.53,3,yes
75047258,G,RENT,G1,27.34,0,no
75719885,F,RENT,F4,25.88,0,yes
